Indicator,Country,Time,Value
"Youth literacy rate, population 15-24 years, female (%)",Lebanon,2015,99.31
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,1999,98.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2000,98.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2001,98.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2002,98.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2003,98.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2004,98.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2005,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2006,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2007,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2008,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2009,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2010,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2011,99.65
"Youth literacy rate, population 15-24 years, both sexes (%)",Eastern Asia,2012,99.65
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2004,1.03
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2007,1.00
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2008,1.02
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2009,1.00
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2010,1.02
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2011,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2012,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Qatar,2015,1.01
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,1999,81.31
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2000,81.31
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2001,81.31
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2002,81.31
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2003,81.31
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2004,81.31
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2005,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2006,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2007,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2008,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2009,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2010,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2011,86.28
"Youth literacy rate, population 15-24 years, male (%)",South and West Asia,2012,86.28
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Albania,2001,1.00
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Albania,2008,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Albania,2011,1.00
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Albania,2015,1.00
"Youth literacy rate, population 15-24 years, male (%)",Burkina Faso,2003,38.38
"Youth literacy rate, population 15-24 years, male (%)",Burkina Faso,2005,40.38
"Youth literacy rate, population 15-24 years, male (%)",Burkina Faso,2006,39.82
"Youth literacy rate, population 15-24 years, male (%)",Burkina Faso,2007,46.73
"Youth literacy rate, population 15-24 years, male (%)",Burkina Faso,2015,47.56
"Adult literacy rate, population 15+ years, male (%)",Malta,2005,91.19
"Adult literacy rate, population 15+ years, male (%)",Malta,2015,93.06
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,1999,82.99
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2000,82.99
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2001,82.99
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2002,82.99
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2003,82.99
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2004,82.99
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2005,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2006,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2007,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2008,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2009,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2010,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2011,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2012,89.69
"Youth literacy rate, population 15-24 years, both sexes (%)",Arab States,2015,91.20
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,1999,96.56
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2000,96.56
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2001,96.56
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2002,96.56
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2003,96.56
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2004,96.56
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2005,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2006,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2007,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2008,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2009,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2010,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2011,97.37
"Youth literacy rate, population 15-24 years, male (%)",South-Eastern Asia,2012,97.37
"Youth literacy rate, population 15-24 years, both sexes (%)",South Africa,2007,97.57
"Youth literacy rate, population 15-24 years, both sexes (%)",South Africa,2009,98.37
"Youth literacy rate, population 15-24 years, both sexes (%)",South Africa,2010,98.64
"Youth literacy rate, population 15-24 years, both sexes (%)",South Africa,2011,98.79
"Youth literacy rate, population 15-24 years, both sexes (%)",South Africa,2012,98.88
"Youth literacy rate, population 15-24 years, both sexes (%)",South Africa,2015,99.02
"Adult literacy rate, population 15+ years, female (%)",World,1999,77.04
"Adult literacy rate, population 15+ years, female (%)",World,2000,77.04
"Adult literacy rate, population 15+ years, female (%)",World,2001,77.04
"Adult literacy rate, population 15+ years, female (%)",World,2002,77.04
"Adult literacy rate, population 15+ years, female (%)",World,2003,77.04
"Adult literacy rate, population 15+ years, female (%)",World,2004,77.04
"Adult literacy rate, population 15+ years, female (%)",World,2005,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2006,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2007,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2008,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2009,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2010,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2011,80.23
"Adult literacy rate, population 15+ years, female (%)",World,2012,80.23
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Nepal,2001,0.56
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Nepal,2011,0.66
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Nepal,2015,0.69
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2004,92.30
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2006,95.45
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2007,93.89
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2008,96.48
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2009,95.32
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2010,96.39
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2011,96.95
"Youth literacy rate, population 15-24 years, female (%)",El Salvador,2015,97.89
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2004,87.37
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2005,88.23
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2006,88.12
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2007,88.66
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2009,90.82
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2010,92.66
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2011,94.11
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2012,94.92
"Adult literacy rate, population 15+ years, both sexes (%)",Turkey,2015,95.01
"Adult literacy rate, population 15+ years, both sexes (%)",World,1999,81.95
"Adult literacy rate, population 15+ years, both sexes (%)",World,2000,81.95
"Adult literacy rate, population 15+ years, both sexes (%)",World,2001,81.95
"Adult literacy rate, population 15+ years, both sexes (%)",World,2002,81.95
"Adult literacy rate, population 15+ years, both sexes (%)",World,2003,81.95
"Adult literacy rate, population 15+ years, both sexes (%)",World,2004,81.95
"Adult literacy rate, population 15+ years, both sexes (%)",World,2005,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2006,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2007,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2008,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2009,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2010,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2011,84.29
"Adult literacy rate, population 15+ years, both sexes (%)",World,2012,84.29
"Youth literacy rate, population 15-24 years, female (%)",Sao Tome and Principe,2001,94.85
"Youth literacy rate, population 15-24 years, female (%)",Sao Tome and Principe,2008,77.34
"Youth literacy rate, population 15-24 years, female (%)",Sao Tome and Principe,2015,82.28
"Adult literacy rate, population 15+ years, female (%)",Kuwait,2005,91.04
"Adult literacy rate, population 15+ years, female (%)",Kuwait,2006,90.83
"Adult literacy rate, population 15+ years, female (%)",Kuwait,2007,91.50
"Adult literacy rate, population 15+ years, female (%)",Kuwait,2008,91.79
"Adult literacy rate, population 15+ years, female (%)",Kuwait,2012,94.97
"Adult literacy rate, population 15+ years, female (%)",Kuwait,2015,95.84
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,1999,95.44
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2000,95.44
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2001,95.44
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2002,95.44
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2003,95.44
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2004,95.44
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2005,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2006,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2007,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2008,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2009,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2010,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2011,95.97
"Youth literacy rate, population 15-24 years, male (%)",Western Asia,2012,95.97
"Adult literacy rate, population 15+ years, male (%)",Cyprus,2001,98.63
"Adult literacy rate, population 15+ years, male (%)",Cyprus,2011,99.29
"Adult literacy rate, population 15+ years, male (%)",Cyprus,2015,99.46
"Adult literacy rate, population 15+ years, male (%)",Central Asia,1999,99.41
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2000,99.41
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2001,99.41
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2002,99.41
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2003,99.41
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2004,99.41
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2005,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2006,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2007,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2008,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2009,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2010,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2011,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2012,99.68
"Adult literacy rate, population 15+ years, male (%)",Central Asia,2015,99.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Uganda,2002,80.79
"Youth literacy rate, population 15-24 years, both sexes (%)",Uganda,2006,84.07
"Youth literacy rate, population 15-24 years, both sexes (%)",Uganda,2010,87.41
"Youth literacy rate, population 15-24 years, both sexes (%)",Uganda,2015,90.72
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Sri Lanka,2001,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Sri Lanka,2006,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Sri Lanka,2008,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Sri Lanka,2010,1.01
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Sri Lanka,2015,1.01
"Adult literacy rate, population 15+ years, male (%)",Rwanda,2000,71.42
"Adult literacy rate, population 15+ years, male (%)",Rwanda,2010,71.13
"Adult literacy rate, population 15+ years, male (%)",Rwanda,2015,73.21
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,1999,98.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2000,98.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2001,98.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2002,98.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2003,98.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2004,98.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2005,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2006,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2007,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2008,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2009,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2010,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2011,99.51
"Youth literacy rate, population 15-24 years, both sexes (%)",Central and Eastern Europe,2012,99.51
"Adult literacy rate, population 15+ years, male (%)",Angola,2001,82.92
"Adult literacy rate, population 15+ years, male (%)",Angola,2012,82.47
"Adult literacy rate, population 15+ years, male (%)",Angola,2015,81.98
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,1999,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2000,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2001,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2002,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2003,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2004,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2005,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2006,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2007,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2008,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2009,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2010,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2011,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2012,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2015,84.60
"Adult literacy rate, population 15+ years, female (%)",Guam,2015,92.76
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,1999,76.87
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2000,76.87
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2001,76.87
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2002,76.87
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2003,76.87
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2004,76.87
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2005,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2006,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2007,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2008,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2009,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2010,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2011,80.35
"Adult literacy rate, population 15+ years, both sexes (%)",Developing countries,2012,80.35
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,1999,47.94
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2000,47.94
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2001,47.94
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2002,47.94
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2003,47.94
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2004,47.94
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2005,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2006,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2007,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2008,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2009,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2010,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2011,50.41
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2012,50.41
"Youth literacy rate, population 15-24 years, female (%)",Bahrain,2001,97.25
"Youth literacy rate, population 15-24 years, female (%)",Bahrain,2010,97.58
"Youth literacy rate, population 15-24 years, female (%)",Bahrain,2015,99.74
"Adult literacy rate, population 15+ years, male (%)",Nigeria,2003,66.77
"Adult literacy rate, population 15+ years, male (%)",Nigeria,2008,61.25
"Adult literacy rate, population 15+ years, male (%)",Nigeria,2015,69.19
"Youth literacy rate, population 15-24 years, female (%)",Africa,1999,64.14
"Youth literacy rate, population 15-24 years, female (%)",Africa,2000,64.14
"Youth literacy rate, population 15-24 years, female (%)",Africa,2001,64.14
"Youth literacy rate, population 15-24 years, female (%)",Africa,2002,64.14
"Youth literacy rate, population 15-24 years, female (%)",Africa,2003,64.14
"Youth literacy rate, population 15-24 years, female (%)",Africa,2004,64.14
"Youth literacy rate, population 15-24 years, female (%)",Africa,2005,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2006,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2007,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2008,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2009,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2010,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2011,67.58
"Youth literacy rate, population 15-24 years, female (%)",Africa,2012,67.58
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2004,92.80
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2005,92.85
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2006,92.30
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2007,92.65
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2008,93.38
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2009,93.24
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2010,93.37
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2011,93.58
"Adult literacy rate, population 15+ years, both sexes (%)",Colombia,2015,94.68
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,1999,88.02
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2000,88.02
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2001,88.02
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2002,88.02
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2003,88.02
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2004,88.02
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2005,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2006,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2007,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2008,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2009,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2010,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2011,90.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Middle income countries,2012,90.70
"Youth literacy rate, population 15-24 years, female (%)",North America,2005,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2006,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2007,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2008,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2009,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2010,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2011,98.15
"Youth literacy rate, population 15-24 years, female (%)",North America,2012,98.15
"Adult literacy rate, population 15+ years, male (%)",Bulgaria,2001,98.74
"Adult literacy rate, population 15+ years, male (%)",Bulgaria,2011,98.75
"Adult literacy rate, population 15+ years, male (%)",Bulgaria,2015,98.73
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Slovenia,2004,1.00
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Slovenia,2012,1.00
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Slovenia,2015,1.00
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Niger,2001,0.54
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Niger,2005,0.44
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Niger,2012,0.44
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Niger,2015,0.47
"Adult literacy rate, population 15+ years, female (%)",Egypt,2005,59.36
"Adult literacy rate, population 15+ years, female (%)",Egypt,2006,57.81
"Adult literacy rate, population 15+ years, female (%)",Egypt,2010,63.52
"Adult literacy rate, population 15+ years, female (%)",Egypt,2012,65.76
"Adult literacy rate, population 15+ years, female (%)",Egypt,2015,65.42
"Youth literacy rate, population 15-24 years, male (%)",Armenia,2001,99.75
"Youth literacy rate, population 15-24 years, male (%)",Armenia,2012,99.68
"Youth literacy rate, population 15-24 years, male (%)",Armenia,2015,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,1999,99.85
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2000,99.85
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2001,99.85
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2002,99.85
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2003,99.85
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2004,99.85
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2005,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2006,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2007,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2008,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2009,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2010,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2011,99.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Caucasus and Central Asia,2012,99.88
"Youth literacy rate, population 15-24 years, male (%)",Israel,2011,99.65
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,1999,97.69
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2000,97.69
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2001,97.69
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2002,97.69
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2003,97.69
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2004,97.69
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2005,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2006,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2007,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2008,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2009,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2010,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2011,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2012,98.81
"Youth literacy rate, population 15-24 years, female (%)",East Asia and the Pacific,2015,99.10
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,1999,88.09
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2000,88.09
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2001,88.09
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2002,88.09
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2003,88.09
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2004,88.09
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2005,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2006,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2007,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2008,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2009,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2010,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2011,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2012,92.82
"Youth literacy rate, population 15-24 years, female (%)",World,1999,84.04
"Youth literacy rate, population 15-24 years, female (%)",World,2000,84.04
"Youth literacy rate, population 15-24 years, female (%)",World,2001,84.04
"Youth literacy rate, population 15-24 years, female (%)",World,2002,84.04
"Youth literacy rate, population 15-24 years, female (%)",World,2003,84.04
"Youth literacy rate, population 15-24 years, female (%)",World,2004,84.04
"Youth literacy rate, population 15-24 years, female (%)",World,2005,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2006,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2007,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2008,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2009,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2010,86.93
